Model ranking;ranking;ind;relevance;review
0;377;132;0.7199386571198545;heard grapevine yes david experiencing personal problems late may feel sadness way life way may time read hope reach heart many people care including n nlulu frenchiosse n nmario canone bros n nbarbara windsor n nduby doss n nsean maguire n norange jonny n nand many others however also people hate people follows n nalex morgan n nterri rowlings n norange jonny n ngod man month n nlulu frenchiosse n nmario canone bros n nsean maguire n nwhat important recover yes m talking david n nremember live life orange alone n n hot shot city particuarly good song
1;85;126;0.6592671478111797;derrick hoppelpapp looking something n ndebbie h doshishoff looking sign n nand know defmac hesbenadick found side windswept dusty road rural minnesota n nthat painted yellow sign flaked faded heat yielded message dalmius haftroptwon resonate resonate time n nthrough time also along path led city dreams n nbut durrup halvorline alone path followed vision shared n na vision n nshared n nshared disenfranchised youth world over n nall paths led direction n noutside disused armaments factory bachenberger strasse dusseldorf tinged sepia fading sun blue eyed boy named gunther waits n nat edge sunlit boulevard along lacquered wooden corridor mitschetzenundtitzenwiemachzein haus blonde haired girl named helga waits n nand now n nall paths come together dropt hazeb abi lonely minnesota road calls them n n du n nbecause message clear wir zwei allein save world best yet come believe love fact everybody sunshine save world n nif learn fly flying wings tenderness follow n nand comes bright red plastic life buoy dragged along dusty path beacon shared n na beacon life hope lovein eyes n nbecause paths one n nand lead one place n na city n na city life city hope city freedom n na city je t aime means love n nwhere limbo dance n ndo dance d amour n ni believe laura branigan believes believe n nthere city nobody needs ask everybody happy n nthere time fallin love n nthere time going crazy n ndilber hassahotrider opened gate n nhe given gunther helga laura branigan believe keys city n nhot shot city
2;320;115;0.6351195868004502;oh hasselhoff fire n n people make fun call hughisboobbs hinkerchop hankipants hasselhoff pushes pure brute hassel sweet smelling hoff always hasselhoff know original sweet sweet sweet fan call david yes sometimes talk david since days night rider yes night rider n n david savior someone crazy macgyver could come bunch hooey dukes hazard accomplish unaccomplishable jumps got going n n woohoo david n n found pop star overseas germans finally got act together said hearing albums course loved even more n n whole baywatch thing came view holy omigod smithereens could believe could listen imports watching contriving animal nature man n n m writing album hit accurately without hitting every track well try n n siren call good thing lifeguard n n david lyrics write aching tattoo every stanza believe many tattoo artist around pulls reality songful lyrics heartful thoughts upbeat thoughtful makes want hang wherever watch beauty work n n tunes animal like passionate pulling resonance life many others apt pull n n one kids teach d say shiznit words tie melodies pull everything together way look look way wo stop drags dirty lasso around neck pull sweetest kiss hope hope n n anyway m way overdue much n n david stuff much stop n n needless say cd player now n n oh song hot shot city particularly good n nlove longtime n nme
3;213;123;0.5046730434049236;thou art truly blessed day discovered wondrous sweeping melodies david hassershafft hair back neck stood yet will n nswoon dipping symphonic filigree work crazy ft krayzee bone n ntremble iridescent syncopation limbo dance ft ashanti gwen stefani n nreel thundering insistent trabeation ft mars volta cypress hill n nyou may faint wake pool vomit first times listen album normal par course anyone immerses trademark voice david haskerskassk voice many likened wallaby practicing frottage amputee marmoset n nthe song hot shot city particularly good
4;349;86;0.42351880980716733;one compact disc one single compact disc sum entirety compacted diskette collection one power one number cds penises hearts n nbut asked relinquish hold either heart member cd certain d choose music adorns infests singular cd one darvid hastlehof n nhastlehof genius likes world never acquainted man create art deep intelligent thought provoking creative spiritual melodious ground breaking downright essential whilst time remain grounded humble genial hairy question fear never answered writing performing songs album hastlehof clearly plumbed depths human experience level never charted brave enough wrestle previously untouched black holes psyche yet somehow managed return event horizon sanity leather jacket intact n nlistening cd like dead never gon na get better cd unbetterable best n nthat cd cd perfection settle inferiority n noh hot shot city particularly good track
5;80;51;0.4096916414521566;vividly remember first heard cd black time life contemplating suicide music lost savour heard album n nthe blissful arrangements rapturous melodies captivating voice cool foreign languages je t aime means love knew without exaggeration say album pulled back brink could leave world music n nall songs album distinctive quality beautiful right doubt everyone listens personal favorite though song resonated deepest sixth track hot shot city something touched soul n ndavid shmasselhoff cd beyond amazing divine
6;32;492;0.38472147084435493;often heard hasselhoff sings voice god release looking best david hasselhoff import exaggeration release hasselhoff proves overwhelming musical gifts southern californians popularity base germany seriously calls question cultural superiority french even though clear tried reach france see offering j taime means love nthe previously unreleased fallin love gives music lovers everywhere special thrill david includes previously unreleased material best cd surprises keep coming cd contains fewer 17 tracks practically world record n looking for the best david hasselhoff truly brings us full circle artist almost hard categorize rock slash pop seems narrow genre genius vocal stylings nay genius life that hasselhoff
7;223;53;0.3816328522578349;david hobbstweedle definitive german pop musician crushingly loud interpretation blues incorporated mythology mysticism variety genres notably world music british folk sound david hassledhop mystique rarely gave interviews since music press detested superior teutonic sound consequently connection audience records concerts television shows musician davyyd hossluhuff established concept album oriented rock refusing release popular songs albums singles established dominant format german pop well genre actual sound n n looking best musically diverse effort date featuring everything crunching rock lovein eyes folk flying wings tenderness well limbo dance found bridge two genres limbo dance immediate radio hit eventually becoming played song history album oriented radio song never released single despite fact album never reached number one america yet looking best biggest album ever selling well 163 million copies next decade album cover head shame rush nearest record store worry everything going alright n n hot shot city particularly good
8;231;61;0.37864953210692603;popped cd boombox pants fell weeped like charles charge cancelled pure beauty wafting music almost much bear indeed prove much bear next door neighbor moved immediately jumped ocean n nnow m alone trailer walk around erection enjoy david hulkerflink heart content prance crazy jetes d even limbo dance limbo dance meanwhile turned gas water since let payments lapse big time n nbut hey life short pay bills sit dark listening masturbaiting david masterwork excelsior n nthe song hot shot city particularly good
9;169;113;0.37285685075126346;listened album like many others skeptic foolish foolish skeptic content assuming david hoppermensch mediocre singer simply pulled strings actor get record deal exposed 18 tracks sheer orgiastic bliss converted tortured tortured knowledge david probably definitely talented singer ever lift microphone mouth n nit sends shivers back recount sensations felt upon hearing flying wings tenderness cherubim seraphim running ghostly fingers afro gabriel horn raised tooted directly crotch david dressed tunic sensible sandals led clarion charge magnificent voice voice memory describes sounding like furious armadillo violating leaky marblebag n nlistening 17 tracks knock chair onto duff sit middle floor sobbing rocking maddening beauty david humperkock n nthe song hot shot city particularly good
