Model ranking;ranking;ind;relevance;review
0;15;87;0.7086185439845046;want am fm shortwave plus longwave radio superb performer yet wo break bank one n ni flatly state radio nbsp data hook product link linked class a link normal href sony icf sw7600gr am fm shortwave world band receiver with single side band reception dp b00006is4x ref cm cr arp d rvw txt ie utf8 sony icf sw7600gr am fm shortwave world band receiver single side band reception a nbsp positively finest compact portable shortwave longwave am fm receiver currently market believe finest compact portable shortwave receiver ever designed n nto get anything capable spend lot money possible unless research market carefully may get something good n nthis receiver simple operate reading owner manual make sure read also make sure understand sure re read re read often necessary need embarrassed one else know many times read instructions take one two careful readings instructions fully understand n nyou must realize ordinary analog am fm radio turn select fm maybe change stations knob n nthis fact sophisticated portable communications receiver thus requires learning curve familiar shortwave reception read reviews amazon site clearly demonstrate writer read instructions able easily spot n nif read follow instructions radio quite easy use following instructions also reading basic books shortwave listening nbsp data hook product link linked class a link normal href passport to world band radio 2008 edition passport to world band radio dp 0914941666 ref cm cr arp d rvw txt ie utf8 passport world band radio 2008 edition passport world band radio a nbsp nbsp data hook product link linked class a link normal href world radio tv handbook 2008 the directory of global broadcasting world radio tv handbook dp 0823099563 ref cm cr arp d rvw txt ie utf8 world radio tv handbook 2008 directory global broadcasting world radio tv handbook a derive maximum benefit radio learned operate receiver find using becomes intuitive rewarding please note two books mentioned introduce new editions year check amazon n nthis receiver contains controls necessary bring signals clearly thereby eliminating much complication cause difficulty use n nits main claim shortwave fame addition overall superb design inclusion synchronous detection circuit well full single sideband ssb reception available currently available new receiver size and or price class circuit make difference hearing station hearing almost totally eliminate interference close by frequency circuit also works band eliminates selective fading distortion commonly heard around dawn dusk evenings listening distant stations skywave comes slightly behind groundwave skywave comes out of phase causes distortion radios makes announcer sound though he she bad cold annoyance occur sony n nfor shortwave listening quite sensitive whip antenna yet robust enough handle significant external antenna owner decide use one n nwith radio user easily conveniently hear appropriate times day english language broadcasts england course china canada netherlands germany france russia czech republic bulgaria viet nam australia new zealand south africa jordan egypt israel argentina great tango music india many many also conversant various foreign languages shortage well fascinating listen news commentaries various countries compare equivalent news items particularly interesting see countries emphasize de emphasize certain items course varying opinions expressed commentaries great interest us united states n na nbsp data hook product link linked class a link normal href sangean ant 60 short wave antenna dp b000023vw2 ref cm cr arp d rvw txt ie utf8 sangean ant 60 short wave antenna a nbsp improve shortwave reception truly necessary sangean plugged radio antenna socket wind up antenna sony supplies radio must clipped whip antenna n nregarding performance radio superb desired reception improved means nbsp data hook product link linked class a link normal href terk technology am 1000 advantage passive am indoor antenna dp b000069euw ref cm cr arp d rvw txt ie utf8 terk technology am 1000 advantage passive indoor antenna a used inductively really necessary local stations come expected extremely well day night especially use synchronous circuit unexpected well relatively small radio receives long distance stations location canada cuba dominican republic often come like locals stations around country likewise signals come loud clear one would expect high quality performance radio size radios category may sensitive sony one synchronous detection circuit cleans received signal makes fully listenable n nfm sensitivity selectivity capture ratio excellent n nthis radio manufactured unchanged since 2001 predecessor model minor changes dates back 1994 incredibly time manufacturer able design radio even equal sony much less superior n nits construction quality absolutely first rate still manufactured japan sony towada audio corporation company located kosaka town kazuno district akita japan actually developed radio unlike compact shortwave portables manufactured china rarely taiwan japanese build quality long noted excellence difference really shows believe cursory hands on examination comparison one receiver class confirm construction quality second to none even better tabletop communications receivers n nin order buy something better would spend least three times price radio would get eton e1 example would anywhere nearly portable one construction quality match sony n nsome people complained whip antenna somewhat delicate fact whip antennas damaged relatively easily regard sony radio better worse case however exact replacement antenna available partstore dot com antenna takes less one minute replace n nsound quality pretty good great news talk somewhat less music fm even easily inexpensively corrected means cable available local radio shack connect radio via line output jack stereo system wish use powered auxiliary speakers nbsp data hook product link linked class a link normal href logitech compact speaker system z320 for notebooks dp b002fu5qlq ref cm cr arp d rvw txt ie utf8 logitech compact speaker system z320 notebooks a nbsp inexpensive works extremely well course also much expensive powered computer speakers may may provide better sound logitechs choice always really like logitech z320s n nthis receiver powered four aa batteries either standard alkalines better far economically rechargeable nimh types radio efficient batteries set lasts long time course rechargeable ones recharged again n nthe radio 100 memories 100 regular memories 2 memories alarm clock function one bottom shortwave frequency band memories disappear changing even removing batteries totally non volatile remain essentially forever manually change delete even clock remains several minutes changing batteries however remove batteries long time reset clock easy thing necessary reset fact two clocks one set local time set time zone desire mine set utc gmt set local time time zone automatically set well set clock n nsony longer offers suitable ac adapter radio however radio shack radio shack ac adapter cat 273 025 appropriate adapt a plug free purchase adapter cat 273 1705 better sony original smaller lighter weight less expensive costing 12 99 adapter plug bought local radio shack store well online wish bad amazon sell adapter n nall radio especially amazon current price beaten terms value money n nit opinion best value shortwave receiver currently market world full often ephemeral electronic gizmos one genuine electronic bargains n nthis radio owner never outgrow n n n nupdate may 16 2008 n nto improve shortwave reception home traveling recommend sony an lp1 active antenna addition sangean ant 60 mentioned an lp1 powered two aa batteries folds neatly fits convenient storage bag indoor use mounts window outdoor use days wind blowing extremely useful addition owner armamentarium n nif wish purchase one sells 115 00 including shipping advantage disadvantage currently antenna sold eb dealer japan google buyfromjapan enter an lp1 search box absolutely reliable fast antenna less week express mail takes usual major credit cards well paypal n ni believe using an lp1 icf sw7600gr results almost perfect portable shortwave reception center
1;115;79;0.6402799752989923;radio trusty old friend past several years bought several years ago wanted start trying shortwave radio especially camping hiking remote areas n nsince purchased numerous new toys like ipods satellite radio couple table top radios always find coming back using old reliable 7600gr n nthe great thing radio versatility day age electronic gadgets skimp seemingly unimportant details radio all n nthe line perfect connecting speaker system filling office great sounding music n nthe attenuator great using radio interference riddled environments like offices also helps tremendously focusing weak stations may overpowered stronger signals n nthe headphone output radio phenomenal never really appreciated tried using headphones cheaper radios full sound clear music talk radio try using good full sized headphones like grado sr80 top quality fm stations hear deep bass clear mids crisp highs n nthe standby memory function makes radio great travel alarm clock n nshortwave reception great able find lots interesting stations around world n npresets easy use get hang it n nbatteries last ridiculously long time n nrugged reliable camped hiked cycled ran radio traveled mexico numerous places harsh canada winters humid tropical weather occasional rain shower still works great time two ipods broken first satellite radio broke 7600gr keeps ticking n nthis radio versatile use desktop radio travel alarm clock remote location shortwave radio thing well serve pocket radio big fit pocket carry shoulder bag backpack got great sounding portable radio n nif get hands one get classic radio sony probably wo ever replicate
2;23;136;0.6149953189667572;m new world shortwave 2 days came across thread messageboard describing conet project basically cd collection various numbers stations collected listening shortwave radio audio loggings intrigued greatly decided wanted enter world shortwave n nso friends know shortwave much less radio buy took trip local radio shack impressed selection lot research online pretty well figured radio universally hailed great portable excellent starter radio ordered tuesday thanksgiving used super saver shipping got monday thanksgiving thanks amazon using bad boy ever since let tell completely overwhelmed could pick thing received ham radio communcations bbc excellent clarity fm stations normally pick stations hometown weak quite treasured numbers stations got interested first place n ni honest tested another radio little compare radio exceeded expectations 128 dollars change well constructed comes nifty carrying case spool type antenna receptiion included antenna nothing short awesome n nthe downside find fact ac adapter included sony would include something like beyond m going complain lot read ac adapters cause unwanted interference especially one radio uses n ni know wrap saying m new shortwave find interesting radio pleases greatly unless want spend lot money best bet
3;133;92;0.6051311180866397;overall give 4 5 stars reading many favorable reviews radio bought one upgrade 1991 vintage radio shack dx 440 sony high quality receiver nice features think overpriced 150 standard accessories include ac adapter rechargable batteries earphone shop around plan buying one try get sale n ngood things n n well made solidly built n compact like size paperback book n excellent sensitivity good selectvity n synchronous feature works advertised reduce interference n 100 memory presets n fully adjustable attenuator control rf gain useful signals strong n audio line out jack see n single side band ssb reception required listening ham operators certain signals n dual clocks n display recessed reduce damage scratches n included clip on reel antenna really helps reception n nnot so good things n n audio generally sounds muffled shortwave broadcasts okay regular am fm reception using ear buds helps best option running line out external amplifier n small recessed switches sides radio difficult find touch hard operate n nminor negatives n n battery life average plan using rechargables n controls features 100 intuitive read user manual n small display n backlight could brighter n none last note understand reviewers claim sensitivity poor write colorado receiver sitting floor antenna tucked away radio havana booming loud clear
4;118;88;0.5782453880685983;live florida looking small aa powered radio hand hurricanes bought 50 grundig happy reading many sw dx review sites bought radio n nso far found positive statements radio seem true second night tuned radio netherlands radio japan radio cairo voice vietnam voice islamic republic iran blown away m new shortwave maybe big deal 150 m getting alot entertainment little radio thought would sit box next hurricane charlie m using every day n nsound little speaker sounds like well sound little speaker expect anything different fine talk radio npr etc bought 15 pair earbuds stereo listening m pleased sound built world clock pretty cool n nas lack ac adaptor really bother understand sony adaptor created lot interference short wave bands plus longer available states universal radio offers non interfering adaptor radio reasonable price n nthere small learning curve first reading manual flipping passport world band radio running hour two
5;137;108;0.535176422964256;radio additional controls sides radio aid tuning frequencies radio able pick stations portable radios mw fm sw count 14 bands also tune lw radio quality feel cheaper radios chose one based owned 7600 series radio previously used extensively 15 years on off switch failed regret getting repaired rear radio world map time zones radio also included sony an 71 compact antenna short wave radio station book along owners manual manual available online anyone interested radio take look
6;41;53;0.524202809697395;nice little radio ham radio operator built radios worked electronics tech studied electronics theory also ccrane sw radio sony 7600gr receiver better worse ccrane radio old saying ham radio better 500 antenna 50 radio 500 radio 50 antenna antenna important part radio system run 70ft outside antenna shortwave radios want good strong signal weak stations run outdoor antenna radio always get better signal enjoy imho
7;130;84;0.501007083034028;many short wave radios years recently bought grundig satellite 800 got lot hype unfortunately got zapped lightning happy anyway n nbut happy sony product n npros n nvery good front end picks everything available using supplied long wire antenna reception excellent think ever better fm reception n nfor ssb bfo much prefer im tuning n ni fallen asleep times batteries suffered much grundig battery eater n ni think speaker perfectly designed listening short wave broadcasts everything crisp clear designed listening music may want use headphones better music quality n nthe sync lock works well make easier hear weak stations n ncons n nthe tiny switches sides easy use n nit hard fine tune bfo small dial done n nconclusion n nyou find bang buck doubt find anything good twice cost
8;43;113;0.49621031379570996;best sw radio buy 150 lack features would made best radio ever since radio picks shortwave would nice know meter band radio display band frequency tuning radio another problem since knob buttons kaito 1103 superior radio features matches performance sony except maybe bringing distant stations also costs less radios use kaito much
9;9;46;0.49072277400741054;first good points focus d buy knowing know d aware couple things need known prior purchase radio great well constructed light weight cheap thin brittle plastic cased wannabe short wave radio relatively expensive well worth money market number years keeps getting high marks people ham radio operators know radios know look for n nsound small speaker adequate worse one might expect expect much impressive frequency stability drift almost non existent mine sideband outstanding particularly price range bought primarily emergency purposes case wide scale extended power outage turning fun former ham radio operator still kind picky n nsensitivity quite good caution familiar shortwave propagation study bit internet disappointed reviewers apparently done depending time day solar storm activity factors different bands different characteristics sometimes scan never lock single signal times bands simply dead times bands frequency ranges pull signals world something sony control band open radio pick nicely n none huge flaw obviously made make men look stupid wives never need instructions anything dig box plug whatever add batteries use right men nwe intuitively know electronic mechanical things work need stinkin manual guys somehow get instruction manual even let anyone know radio delivered study many functions able intuitively fit limited number buttons front radio homework continue streak brilliance front kids honey taking box sticking batteries turning start programming heck pulling china india bbc south america etc tongue in cheek switch seriously order take full advantage features entirely do it yourself project read manual first criticism observation radio on off select band turn frequency knob listen much part radio sells price head shoulders price range competition n nnow reasons rate 5 stars external power supply included supply batteries reason take box christmas order set properly excuse read manual everyone else gone bed come sony price cheap 6v plug in power supply ought included n nsecond big hit amazon buy sangean antenna listed frequently bought together receiver got caught purchased something box labeled sangean little doubt antenna inside minor cosmetic difference outside mostly sangean label likely came exactly factory product description say internal ferrite bar antenna telescoping external antenna top receiver mention plug in long wire antenna amazon ad says many people buy sangean antenna along sony receiver implying need purchase separately fact external plug in long wire antenna appears thing sangean antenna box receiver yes called amazon immediately yes amazon apologized gave postage paid shipping label promptly credited credit card sangean antenna received back amazon regard amazon usual greatness ad radio including extended item description misleading outright wrong n nwithout two glitches lack external power supply included antenna included pushed amazon listed product description would otherwise solid 5 star rating note give 5 star ratings product way competition virtually flawless far impressive really great product say otherwise 5 star rating says lot much like radio
