Model ranking;ranking;ind;relevance;review
0;45;40;0.4950256959148188;carnival souls made shoe string budget industrial filmmaker herk harvey stars enigmatic beautiful candace hilligoss lead character manages constantly isolated everyone around many excellent transitions shots movie obvious ever put together excellent film editior least film extensively reviewed want focus dvd releases aside original cut film 82 minutes several prints trimmed director perhaps tv although seen complete film cable well edited versions image movie only release way image also co produced criterion collection release complete version movie best print seen active menu spooky organ music icons chapters films trailer first thought icon recommendations link one page marketing promo however click title boxes get trailer image releases shown quite nice little easter egg n glad versions well think edited prints also interesting alpha video version actually slightly higher bit rate image edition tiny amount pixelization detracts sharp picture clocks 77 minutes great bargain diamond dvd release identical running time lower bit rate still pixelization couple scenes however considering get copy 1960 horror hotel christopher lee included great buy bucks curiously diamond edition carnival souls horror hotel supposedly print yet found copy store recently got another new copy on line little brother collection goodtimes released carnival souls high bit rate sharp picture skips pops also running time shortest 75 minutes cuts couple scenes candace hilligoss stops gas directions entering salt lake city however goodtimes edition two sided disc carnival one side decent print night living dead like two sided discs goodtimes also released films seperately bucks criterion collection released utlimate edition two cuts film loads extras including commentary however budget options make popcorn enjoy show thanks cal
1;23;31;0.4447705034071214;love film dark creepy characters believable especially side characters like head organ making company doctor people look like actors looked like average ordinary people truly say enough good things film except consider masterpiece film 3 times various dvd packs particular one rented dispite traditionalist may say like optional color see looks like black white far beautiful erie creepy film beautiful also star film supposedly dissappeard film made never made another movie know true myth adds mystique film film must horror movie colleciton version get sure would love watch film commentary n ni would put movie modern day horror film film period film studied film school along short films maya deren
2;58;52;0.4183448779680541;carnival souls may true film classic even director herk harvey count among best work one precious american films early 60s qualify serious works art n nextras abound 2 disc edition interesting lot pertain centron corporation ultra low budget production company lawrence kansas crew carnival souls including harvey worked centron specialized instructional films public schools corporations centron employee harvey would eventually direct nearly 400 short films featured here n nthe dvd makes persuasive argument harvey ability make extremely limited resources carnival souls product many years director centron also draws attention cinematic technique goes effective educational filmmaking matter low budget n nthe 2 disc criterion edition carnival souls must own cineaste wants examine nuts bolts filmmaker craft said less devoted cinephiles might prefer rental revives preserves best manner possible artful low budget horror film devoted cult following importantly also brings attention long neglected piece american film history kudos criterion excellent efforts
3;33;49;0.4011556849734744;carnival souls theatrical film every directed herk harvey cult classic deserved reputation puts almost par dead george romero night living dead terms shoestring productions fact two films appear together recent dvd double feature mary henry candace hilligoss accepts car ride group young girls end drag race sees car go bridge mary surviving taken job church organist salt lake city mary heads new home passing deserted pavilion outskirts town mary drawn ruined bathing center carnival bigger problems since keeps seeing leering corpse like man played harvey watching mary eerie experience suddenly finding silent world one seems notice eventually returns pavilions come terrifying realization happened n carnvial souls came herk harvey drove saltair deserted 1940s tourist resort outside salt lake city decided would make powerful location horror film man definitely right score harvey recruited john clifford come screenplay would involve harvey image dead bodies rising lake pursue victim finished product certainly evokes nightmarish quality makes ignore technical problems overdubbing campy performances supporting cast hilligloss trained method lee strassberg denied hint character motivation director think made one film curse living corpse 1964 film enough secure reputation field sidney berger friendly guy hall boarding house cameo cop 1998 wes craven presents carnival souls debacle compare level evocative horror classic given high gloss shlock nice see horror film actually effective creating sense unease without resorting special effects yes ending predictable today stop think things like early sixties twilight zone covered practically every ironic twist book
4;42;18;0.3846599386182815;get ready cause gon na get complicated real fast lol n nokay criterion image entertainment releasing movie year film known cruddy public domain hell tv 0 99 vhs 1 99 dvd pretty much remastered picture quality right n nwell gets odd criterion set two versions film 78 minute theatrical version 83 minute director cut image entertainment dvd running time 82 minutes note actual discs corroborate dvd cases printed running times n nso one would assume image disc culled print used create criterion director cut seeing run times close previously mentioned prints look much n n would wrong n nthe reason criterion versions scene near beginning film police detective person interviewing driver second car opening drag race asking driver version events bridge scene absent image version n nnow granted little 10 second scene dose rise question image got pristine print restoration notes image packaging theatrical version one scene possibly others well yet serious frame by frame comparisons three films well life lol n nthe scene question actually quite redundant already witnessed events bridge know happened non inclusion image version seamlessly done making look world like scene added scene director cut criterion version since scene also theatrical cut one wonder image print came much different three versions matter n nthen running time issues would assume image dvd would theatrical cut possibly licensed criterion provide cheap alternative criterion set done movie zombi blue underground shriek show paid film restored one put low priced movie dvd time put two disc special edition version theatrical cut 78 minutes director cut 83 minutes image disc 82 minutes missing least one scene theatrical director cuts n nthis curious thought fans might want know might even ideas nature image dvd
5;54;17;0.37897340405338903;love movie saw film ago criterion collection edition amazed interesting storyline film hour fast paced story n nherk harvey john clifford came interesting concept mary henry candace hilligoss gets fatal car accident drag race uneasy town leaving anyways take job church organist although job church place business way stalked ghostly ghastly man scarily played herk becomes even paranoid appears though people treat like exist story comes thrilling conclusion visually stunning scenes old carnival n ni explain like film think colorization actually well done yet listen humorous commentary rate although extra money would go criterion collection film cleaned great cinematography end crisp well director cut n nbut copy satisfies cult obsession low budget masterpiece highly recommend
6;14;7;0.3543416934461505;nice blu ray transfer movie criterion outstanding job usual previous dvd criterion theatrical directors cut movie blu ray theatrical cut still worth getting quality
7;15;15;0.2709742390835285;warning spoilers ahead n nthis single carnival souls 1962 dvd contains original black and white movie colorized version well re mood color watch color version want black and white original comes cult classics horror genre lump carnival souls category night living dead 1968 movie extremely low budget made 30 000 17 000 depending source whatever dirt cheap make opinion sometimes low budget movies better polished big budget movies top of the line actors special effects comes horror movies small amount money produce desired result big budget movies scare audience goal create eerie spooky scary atmosphere taps person feelings fear really need lot money accomplish lot low budget b horror movies effective carnival souls one them n nthis movie shot lawrence kansas also saltair pavilion amusement park salt lake city utah movie stars candace hilligoss mary henry church organist survives car accident two girl companions died throughout movie often sees ghostly image man played director herk harvey practically everywhere goes man seems haunting nobody else sees man long seems become non existent people around see hear mary seems scared unknown forces throughout movie also seems living dead blur ca tell difference basically caught living dead even haunted organ music changes happier tones early movie sinister darker tones practicing church one night seems though ever since saw saltair pavilion first time became drawn end movie bizarre ending wo reveal watch find happens n nthis movie score 100 theater organ performed gene moore organ organ music eerie throughout movie seems key lot time intentionally course underlying subtle carnival melody lot scenes pavilion must say m surprised candace hilligoss appeared one movie curse living corpse 1964 nice looking good screen presence act pretty well n nthis movie classified subtle atmospheric psychological horror movie blood gore instead music camera angles lighting howling winds shadows moonlight clouds feeling emptiness make movie creepy n nthis movie influential many horror movie makers including george romero david lynch john carpenter notice ghoul man keeps haunting mary appears windows disappears michael myers thing halloween 1978 n nthe audio commentary mike nelson tv mystery science theater 3000 obnoxious useless funny guy commentary pointless dvd release n ndo like low budget b horror movies influential cult classics like simplicity comes horror movies like horror movies involving carnivals check carnival souls buy dvd get black and white color
8;66;59;0.24300697262362853;hesitate use word horror boris karloff pointed distinction horror terror film definitely involves distinctions terror film masterpiece low budget suggestion fear opposed disgusting gory motion pictures common today essential possession anyone cares anything genre creates eerie atmosphere sense pure fear nperhaps reason director herk harvey found truly poetic inspiration source story haunting saltair resort cursed fires floodings since first constructed turn twentieth century dvd features marvelous additional material including segment postcards era seen vantage point 21st century strangely evocative later dead atmosphere harvey capitalized candace hilligoss excellent evoking sympathy heroine trapped frightening nether world scenes visits pavilion among eeriest ever filmed creating vivid sense supernatural
9;49;22;0.2297901922592371;m going movie m going tell ya company excellent job restoring colorizing flick they even restored catch original black white glory re looking gore ai gon na bag want see classic ahead time good one re thinking trying save bucks buy cheap version sucks big time trust copy review give movie watch let forgotten time many greats
